date,number,population,real_gdp,gdp_per_head,population_million,real_gdp_million
1270,1000000,4.364903153,16.59758284,3.802508843,4364903.153,16597582.84
1271,1000000,4.37175053,18.09287608,4.13858841,4371750.53,18092876.08
1272,1000000,4.378608649,18.06960552,4.126791629,4378608.649,18069605.52
1273,1000000,4.385477527,17.06314852,3.890830227,4385477.527,17063148.52
1274,1000000,4.39235718,18.17501699,4.137873185,4392357.18,18175016.99
1275,1000000,4.399247626,18.54839426,4.216265106,4399247.626,18548394.26
1276,1000000,4.406148881,17.11008041,3.883227932,4406148.881,17110080.41
1277,1000000,4.413060962,18.95039986,4.294162267,4413060.962,18950399.86
1278,1000000,4.419983886,17.50464427,3.960341195,4419983.886,17504644.27
1279,1000000,4.426917671,16.59214212,3.748012353,4426917.671,16592142.12
1280,1000000,4.455484393,17.62680988,3.956205056,4455484.393,17626809.88
1281,1000000,4.484235455,16.64416238,3.711705718,4484235.455,16644162.38
1282,1000000,4.513172047,18.32704589,4.060790438,4513172.047,18327045.89
1283,1000000,4.542295366,18.34095502,4.037816465,4542295.366,18340955.02
1284,1000000,4.571606616,17.82897262,3.899935868,4571606.616,17828972.62
1285,1000000,4.60110701,15.34153565,3.334314029,4601107.01,15341535.65
1286,1000000,4.630797769,16.46055939,3.554583942,4630797.769,16460559.39
1287,1000000,4.660680122,16.03633882,3.440772247,4660680.122,16036338.82
1288,1000000,4.690755304,14.15815238,3.01830973,4690755.304,14158152.38
1289,1000000,4.72102456,15.0467652,3.187182149,4721024.56,15046765.2
1290,1000000,4.751489143,15.51096124,3.26444211,4751489.143,15510961.24
1291,1000000,4.748977115,17.33149889,3.649522511,4748977.115,17331498.89
1292,1000000,4.746466416,16.97410045,3.576155177,4746466.416,16974100.45
1293,1000000,4.743957044,16.6752646,3.515053877,4743957.044,16675264.6
1294,1000000,4.741448999,18.6387641,3.931027014,4741448.999,18638764.1
1295,1000000,4.73894228,19.40232541,4.094231215,4738942.28,19402325.41
1296,1000000,4.736436886,19.20306572,4.054327374,4736436.886,19203065.72
1297,1000000,4.733932816,15.99819466,3.379472266,4733932.816,15998194.66
1298,1000000,4.73143007,18.26388451,3.860119296,4731430.07,18263884.51
1299,1000000,4.728928648,19.24880677,4.070437133,4728928.648,19248806.77
1300,1000000,4.726428548,19.3490164,4.093792215,4726428.548,19349016.4
1301,1000000,4.72392977,18.5508612,3.92699767,4723929.77,18550861.2
1302,1000000,4.721432313,18.43022226,3.903523559,4721432.313,18430222.26
1303,1000000,4.718936176,17.6513731,3.740540757,4718936.176,17651373.1
1304,1000000,4.716441359,17.8380217,3.782093392,4716441.359,17838021.7
1305,1000000,4.71394786,19.11615676,4.055232965,4713947.86,19116156.76
1306,1000000,4.711455681,18.93212367,4.018317258,4711455.681,18932123.67
1307,1000000,4.708964818,18.7431833,3.980319247,4708964.818,18743183.3
